"Website","Product Name","Price","Image URL","Specification 1","Specification 2","Specification 3","Specification 4","Specification 5","Specification 6","Specification 7","Specification 8","Specification 9","Specification 10","Specification 11","Specification 12","Specification 13","Specification 14","Specification 15","Specification 16","Specification 17","Specification 18","Specification 19","Specification 20","Specification 21","Specification 22","Specification 23","Specification 24","Specification 25","Specification 26","Specification 27","Specification 28","Specification 29","Specification 30","Specification 31","Specification 32","Specification 33","Specification 34","Specification 35","Specification 36","Specification 37","Specification 38","Specification 39","Specification 40","Specification 41","Specification 42","Specification 43","Specification 44","Specification 45","Specification 46","Specification 47"
"RIVERSOFT","Frizider kombiniran VOX KK 3600 F White, A+, 336L(230L/106L)","19499.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/15455/1.webp","ОСНОВНИ ИНФОРМАЦИИ","Нето - волумен на артиклите во фрижидерот 234 л","Бојата Бело","Гаранција 5 години","Класа на енергија F","Нето - волумен на артиклите во замрзнувачот 107 л","Тип на контрола Механички","ТЕХНИЧКИ КАРАКТЕРИСТИКИ","Внатрешност на фрижидерот 4 стаклени плочи, 1 фиоки, 3 полици со врати","Внатрешен замрзнувач 3 фиоки","Годишно потрошена енергија (kWh) 302 kWh","Климатска класа T / SN","Нето капацитет на уредот 341 л","Ниво на бучава 39 dB","Прекинувач за брзо замрзнување Да","Реверзибилна врата Да","Систем за ладење Static - Less Frost","Систем за одмрзнување Автоматски / Прирачник","Сретство за ладење R600a","Тивко работење Дa","ПРОГРАМИ И ФУНКЦИИ","Брз режим за замрзнување Да","БЕЗБЕДНА УПОТРЕБА","Анти-бактериска заштита Да","ДИМЕНЗИИ И ТЕЖИНА","Нето тежина 64 кг","Количински товар (40ftHC контејнер) 72 ком","Вкупна тежина 70 кг","Димензии на уредот (ШxВxД) 595x1860x650 мм","Дименѕије спкованог апарата (ШxВxД) 664x1916x728 мм","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider kombiniran DAEWOO FKL288FWT1RS WHITE, Lil-Frost, F klasa","15999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/151181/1.webp","Lil-Frost,","F енергетска класа,","Нето волумен 288l (204+84l),","LED осветлување,","Диспензер за вода,","OptiCrisp Zone,","Odor Free,","Easy-to-Change Door,","Димензии (S*V*D): 540*1800*595,","Бело","Гаранција 2 години","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider vgraden kombiniran VOX IKK 2460 E Less Frost 211L(154L/57L) E klasa","19599.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9999400/1.webp","ОСНОВНИ ИНФОРМАЦИИ","Нето - волумен на артиклите во фрижидерот 154 л","Бојата Бело","Гаранција 5 години","Нето - волумен на артиклите во замрзнувачот 57 л","ТЕХНИЧКИ КАРАКТЕРИСТИКИ","Капацитет на замрзнување 2.60","Климатска класа T / N","Нето капацитет на уредот 211 л","Ниво на бучава 38 dB","Систем за ладење LessFrost","Систем за одмрзнување Автоматски / Прирачник","Сретство за ладење R600a","ПРОГРАМИ И ФУНКЦИИ","Режим за брзо замрзнување Дa","ДИМЕНЗИИ И ТЕЖИНА","Нето тежина 44 кг","Вкупна тежина 47 kg","Дименѕије апарата (ШxВxД) 540x1440x545 мм","Дименѕије спкованог апарата (ШxВxД) 584x1504x577 мм","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider kombiniran DAEWOO FKL288FBT0RS BLACK, Lil-Frost, F klasa","15999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/151182/1.webp","Lil-Frost,","F енергетска класа,","Нето волумен 288l (204+84l),","LED осветлување,","OptiCrisp Zone,","Odor Free,","Easy-to-Change Door","Димензии (S*V*D): 540*1800*595,","ЦРНА","Гаранција 2 години","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider vgraden kombiniran VOX IKK 3410E,251L(181L/70L),Less Frost,E klasa","20549.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9998354/1.webp","Нето - волумен на артиклите во фрижидерот 181 л","Бојата Бело","Гаранција 5 години","Класа на енергија Е","Нето - волумен на артиклите во замрзнувачот 70 л","ТЕХНИЧКИ КАРАКТЕРИСТИКИ","Сад за јајца Да","Сад за лед Да","Капацитет на замрзнување 3.30","Годишно потрошена енергија (kWh) 271","Климатска класа ST / N","Нето капацитет на уредот 251 л","Ниво на бучава 38 dB","Прекинувач за брзо замрзнување Да","Реверзибилна врата Да","Систем за ладење Static - Less Frost","Систем за одмрзнување Автоматски / Прирачник","Сретство за ладење R600a","Тивко работење Дa","Фиока за контрола на влага Да","ПРОГРАМИ И ФУНКЦИИ","Режим за брзо замрзнување Дa","БЕЗБЕДНА УПОТРЕБА","Анти-бактериска заштита Да","ДИМЕНЗИИ И ТЕЖИНА","Нето тежина 48 kg","Количински товар (40ftHC контејнер) 105","Вкупна тежина 51.5 kg","Дименѕије апарата (ШxВxД) 540x1770x545 мм","Дименѕије спкованог апарата (ШxВxД) 584x1834x577 мм","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider kombiniran VOX KK 3600 SF Silver, F ,336L(230L/106L)","21399.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/15454/1.webp","ОСНОВНИ ИНФОРМАЦИИ","Нето - волумен на артиклите во фрижидерот 234 л","Бојата Сиво","Гаранција 5 години","Класа на енергија F","Нето - волумен на артиклите во замрзнувачот 107 л","Тип на контрола Механички","ТЕХНИЧКИ КАРАКТЕРИСТИКИ","Внатрешност на фрижидерот 4 стаклени плочи, 1 фиоки, 3 полици со врати","Внатрешен замрзнувач 3 фиоки","Годишно потрошена енергија (kWh) 302 kWh","Климатска класа T / SN","Нето капацитет на уредот 341 л","Ниво на бучава 39 dB","Прекинувач за брзо замрзнување Да","Реверзибилна врата Да","Систем за ладење Static - Less Frost","Систем за одмрзнување Автоматски / Прирачник","Сретство за ладење R600a","Тивко работење Дa","ПРОГРАМИ И ФУНКЦИИ","Брз режим за замрзнување Да","БЕЗБЕДНА УПОТРЕБА","Анти-бактериска заштита Да","ДИМЕНЗИИ И ТЕЖИНА","Нето тежина 64 кг","Количински товар (40ftHC контејнер) 72 ком","Вкупна тежина 70 кг","Димензии на уредот (ШxВxД) 595x1860x650 мм","Дименѕије спкованог апарата (ШxВxД) 664x1916x728 мм","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider kombiniran DAEWOO FKL341FWT1RS WHITE, Lil-Frost, F klasa","17499.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/151179/1.webp","Lil-Frost,","F енергетска класа,","Нето волумен 341l (234+107l),","LED осветлување,","Диспензер за вода,","OptiCrisp Zone,","Odor Free,","Easy-to-Change Door,","Димензии (S*V*D): 595*1860*650,","БЕЛО","Гаранција 2 години","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider Beko RCSA 330 K 20 PT","19999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/92833/1.webp","• No Frost","• Енергетска класа:A+","• Нето капацитет:287L","• Капацитет на фрижидерот:197L","• Капацитет на замрзнувачот:90L","• Капацитет на замрзнување:4kg/24h","• Потрошувачка на енергија годишно:318kWh","• Ниво на бучава:43dB","• Димензии:185x60x60cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider vgraden BEKO BCSA285K3SN, 271L(193/78), F, 177.5cm","21999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/110856/1.webp","Комбиниран фрижидер за вградување","MinFrost®t","Led Illumination®","Реверзибилна врата","Кристални полици со висока отпорност","Енергетска класа:F","Нето капацитет:271L","Простор за ладилник:193L","Волумен на одделот за замрзнувач:78L","Kапацитет на замрзнувањ:3.6/24kg","Потрошувачка на енергија годишно:281kWh","Дневна потрошувачка на енергија:0.8kWh","Ниво на бучава:37dB","Димензии:177.5x54x54.5cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider GORENJE RK 6191 ES4 A+ Avtomatsko odrzuvanje","22490.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/107428/1.webp","Енергетска класа: A+","Димензии (ШxВxД): 60 ? 185 ? 59,2 cm","Врата: Метална врата","Боја: Сива металик","Отвoрање на врата: Лево/десно отворање на врата","Прилагодливи ногарки: 2","Slot-in: Можност за поставување на апаратот во кујнски отвор широк 60 cm","Климатска класа: SN, N, ST","1 компресор","Вкупен бруто/нето капацитет: 320 / 314 l","Волумен на разладниот дел: бруто/нето: 208 / 206 l","Волумен на замрзнувачкиот дел: бруто/нето: 112 / 108 l","Капацитет на замрзнување: 5 kg/24h","Издржливост при прекин на електрична енергија: 17 h","Механичко управување","CrispZone фиока за зеленчук","FrostLess: Помало собирање на мраз во замрзнувачот","ЛЕД осветлување","4 стаклени полици","Полица за шишиња на вратата: Сад за шишиња без држач","Полици на вратата на ладилникот: 2 полици на вратата","Флексибилен сад за јајца (8?)","SpaceBox - голема фиока за замрзнување (38 л)","Простор за замрзнување: 3 фиоки","1 стаклена полица","1 класичен сад за лед","Потрошувачка на енергија kWh/24h: 0,78 kWh","Бучност: 38 dB(A)re1pW","Димензии (ШxВxД): 60 ? 185 ? 59,2 cm","Димензии на амбалажата (ШxВxД): 64 ? 191 ? 70 cm","Нето тежина на апаратот: 56 kg","Бруто тежина на апаратот: 58 kg","Приклучна моќ: 90 W","Осигурувач: 10 A","Код: 735826","EAN Код: 3838782408335","","","","","","","","","","",""
"RIVERSOFT","Frizider vgraden kombiniran GORENJE RKI517EP1,A+","22490.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9999836/1.webp","Основни информации","Тип на апарат Комбиниран фрижидер","Начин на поставување Вграден","Енергетска класа E","Боја на апаратот Бела","Врата Метална врата","Отворање на врата Лево/десно отворање на врата","Шарка на вратата Со лизгач","Број на врати 2","Климатска класа","Нормална","Суптропска","Ефикасност","Капацитет на замрзнување (24h) 3.2 kg","Издржливост при прекин на електрична енергија 10 h","Управување","Wi-Fi управување Не","Начин на управување Електронско управување","Индикатор за отворена врата Аларм за отворена врата","Одмрзнување Автоматски","Одмрзнување на змрзнувачот Рачно нагодување","Опрема во фрижидерскиот дел","Полици на вратата на ладилникот 2 полици на вратата","Осветлување на фрижидерот Внатрешно ЛЕД осветлување","Број на стаклени полици 3","Број на стаклени полици 4","Опрема во замрзнувачкиот дел","Сад за коцки мраз Не","Осветлување на просторот за замрзнување Без осветлување","Технички податоци","Бучност 39 dB(A)","Број на компресори 1 компресор","Разладувачка течност R600A","Тип на монтажа Дозволено","Број на независни системи за ладење 1","Ширина 540 mm","Висина 1780 mm","Длабочина 540 mm","Бруто тежина на апаратот 58 kg","Нето тежина на апаратот 53 kg","Ширина на спакуван производ 575 mm","Висина на спакуван производ 1845 mm","Длабочина на спакуван производ 560 mm","Приклучна моќ 220-240 V","Фреквенција 50 Hz","Код 744577","EAN Код 3838782878572"
"RIVERSOFT","Frizider kombiniran DAEWOO FKL341FCT0RS BORDO, Lil-Frost, F klasa","17999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/151180/1.webp","Lil-Frost,","F енергетска класа,","Нето волумен 341l (234+107l),","LED осветлување,","OptiCrisp Zone,","Odor Free,","Easy-to-Change Door,","Димензии (S*V*D): 595*1860*650,","BORDO","Гаранција 2 години","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider kombiniran VOX NF 3730 W Bel, No Frost, A+ , 230L Frizider, 94L Komora","22999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/99717/1.webp","Категорија Фрижидери комбинирани со замрзнувач долу","Нето капацитет на уредот 331 л","Нето - волумен на артиклите во фрижидерот 230 л","Нето - волумен на артиклите во замрзнувачот 101 л","Внатрешност на фрижидерот 4 стаклени плочи, 1 фиоки, 3 полици со врати","Внатрешен замрзнувач 2 сталажи, 3 фиоки","Технологија Multi cooling систем, Анти-бактериска заштита, Брз режим на ладење, Внатрешно лед осветлување, Голема преграда за овошје и зеленчук, Режим за заштеда на енергија","Бојата Бело","Капацитет на замрзнување 8 кг","Систем за ладење No Frost","Тип на контрола Електронски","Систем за одмрзнување Автоматски","Климатска класа T / SN","Гас R600a","Класа на енергија F","Лесно чистење на ентериерот Да","Реверзибилна врата Да","Сад за лед Да","Сад за јајца Да","Zero Clearance Да","Ниво на бучава 41 dB","Потрошена енергија (kWh/години) 313 kWh","Висина на фрижидерот 1860 мм","Ширина на фрижидерот 595 мм","Длабочина на фрижидерот 650 мм","Димензии на спакован апарат (ШxВxД) 664x1916x728 мм","Нето тежина 67 кг","Вкупна тежина 73 кг","Гаранција 5 години","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider vgraden VOX IKS 2790 E 294L 39db E klasa","21499.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9999402/1.webp","ОСНОВНИ ИНФОРМАЦИИ","Нето - волумен на артиклите во фрижидерот 294 л","Бојата Бело","Вид на контрола Електронски","Гаранција 5 години","ТЕХНИЧКИ КАРАКТЕРИСТИКИ","Годишно потрошена енергија (kWh) 112 kWh","Климатска класа ST/SN","Нето капацитет на уредот 294 л","Ниво на бучава 39 dB","Реверзибилна врата Да","Систем за ладење Static","Систем за одмрзнување Автоматски","Сретство за ладење R600a","ДИМЕНЗИИ И ТЕЖИНА","Нето тежина 43.5 кг","Вкупна тежина 53 кг","Дименѕије апарата (ШxВxД) 540x1770x545 мм","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider BEKO BCHA 275 K2 S, kombiniran , Semi NO Frost, A+, 262l, Vgraden","23999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/99166/1.webp","Комбиниран фрижидер за вградување","Semi No-frost","Led Illumination®","Реверзибилна врата","Кристални полици со висока отпорност","Енергетска класа:F","Нето капацитет:262L","Простор за ладилник:193L","Волумен на одделот за замрзнувач:69L","Kапацитет на замрзнувањ:3.2/24kg","Потрошувачка на енергија годишно:280kWh","Дневна потрошувачка на енергија:0.8kWh","Ниво на бучава:38dB","Димензии:177.5x54x54.5cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider vgraden kombiniran BEKO BCSA 285 K4SN , 271L, E, 178cm","23999.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/9997684/1.webp","Комбиниран фрижидер за вградување","Нето капацитет: 271","Волумен на фрижидерот: 193 lit.","Волумен на замрзнувачот: 78 lit.","Енергетска класа: Е","Годишна потрошувачка на енергија (kWh): 225","Ниво на бучава: 35 dB","Капацитет на замрзнување: 4kg / 24h","Внатрешно LED осветлување","Лизгачки шарки","стаклени полици","Реверзибилна врата","Димензии: 177,5 x 54 x 54,5 cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RIVERSOFT","Frizider vgraden GORENJE RKI 4182 E1","24990.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/109249/1.webp","Енергетска класа: A++","Димензии (ШxВxД): 54 ? 177,2 ? 54,5 cm","Врата: Метална врата","Боја: Бела боја","Отвoрање на врата: Лево/десно отворање на врата","Шарка на вратата: Со лизгач","Климатска класа: SN, N, ST","1 компресор","Вкупен бруто/нето капацитет: 263 / 260 l","Волумен на разладниот дел: бруто/нето: 190 / 189 l","Волумен на замрзнувачкиот дел: бруто/нето: 73 / 71 l","Капацитет на замрзнување: 3,5 kg/24h","Издржливост при прекин на електрична енергија: 18 h","Електронско управување","CrispZone фиока со контрола на влажноста: голема фиока за зеленчук со регулација на влажноста","FrostLess: Помало собирање на мраз во замрзнувачот","Фукнција за брзо замрзнување (FastFreeze)","Штедлива програма (EcoMode)","Сад за јајца/лед: 1 x 7","ЛЕД осветлување на кровот","5 стаклени полици","Полици прилагодливи по висина","Држач за шишиња","Полица за шишиња на вратата: Сад за шишиња со држач","Полици на вратата на ладилникот: 2 полици на вратата","Дополнителен скриен простор (HiddenSpace)","SpaceBox - голема фиока за замрзнување (38 л)","Простор за замрзнување: 3 фиоки","2 стаклени полици","Потрошувачка на енергија kWh/24h: 0,59 kWh","Бучност: 38 dB(A)re1pW","Димензии (ШxВxД): 54 ? 177,2 ? 54,5 cm","Димензии на амбалажата (ШxВxД): 58,5 ? 183,5 ? 65 cm","Димензии на вградниот простор (ШхВхД) (мин-макс): 56-57 ? 177,5-178 ? 56 cm","Нето тежина на апаратот: 56 kg","Бруто тежина на апаратот: 58,5 kg","Приклучна моќ: 100 W","Осигурувач: 10 A","Код: 732548","EAN Код: 3838782168154","","","","","","",""
"RIVERSOFT","Frizider kombiniran GORENJE NRK 6191 EW4 NO FROST A+","25990.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/107427/1.webp","Енергетска класа: A+","Димензии (ШxВxД): 60 ? 185 ? 59,2 cm","Врата: Метална врата","Боја: Бела","Отвoрање на врата: Лево/десно отворање на врата","Прилагодливи ногарки: 2","Slot-in: Можност за поставување на апаратот во кујнски отвор широк 60 cm","Климатска класа: SN, N, ST, T","1 компресор","Вкупен бруто/нето капацитет: 320 / 302 l","Волумен на разладниот дел: бруто/нето: 210 / 203 l","Волумен на замрзнувачкиот дел: бруто/нето: 110 / 99 l","Капацитет на замрзнување: 12 kg/24h","Издржливост при прекин на електрична енергија: 17 h","Тип на дисплеј: ЛЕД дисплеј","Аларм за отворена врата","Индикатор за температура: Дигитален индикатор за регулирање на температурата на ладилникот","Звучен и светлосен сигнал при превисока температура во разладниот дел: бел сигнал","NoFrost Plus","IonAir со Multiflow 360° функција","CrispZone фиока за зеленчук","Интелигентен систем на помнење (AdaptTech ладење)","Фукнција за брзо замрзнување (FastFreeze)","Штедлива програма (EcoMode)","ЛЕД осветлување на кровот","4 стаклени полици","Полица за шишиња на вратата: Сад за шишиња без држач","Полици на вратата на ладилникот: 2 SimpleSlide полици прилагодливи по висина, 1 горна полица прилагодлива по висина","Флексибилен сад за јајца (8?)","SpaceBox - голема фиока за замрзнување (38 л)","Простор за замрзнување: 3 фиоки","1 класичен сад за лед","Потрошувачка на енергија kWh/24h: 0,84 kWh","Бучност: 38 dB(A)re1pW","Димензии (ШxВxД): 60 ? 185 ? 59,2 cm","Димензии на амбалажата (ШxВxД): 64 ? 191 ? 70 cm","Нето тежина на апаратот: 57 kg","Бруто тежина на апаратот: 59 kg","Приклучна моќ: 90 W","Осигурувач: 10 A","Код: 735821","EAN Код: 3838782407635","","","","",""
"RIVERSOFT","Frizider kombiniran BEKO RCSA366K40DSN, 343L(223/120), E, 185.2 cm kombiniran","23995.00 ден.","https://digimak.s3.eu-west-1.amazonaws.com/riversoft/116033/1.webp","Комбиниран фрижидер","LED осветлување","MinFrost®","SlimTank - диспанзер за вода","Енергетска класа:Е","Нето капацитет:343L","Капацитет на фрижидерот:223L","Капацитет на замрзнувачот:120L","Капацитет на замрзнување:5.5kg/24h","Автономија:18h","Потрошувачка на енергија дневно:0.7kWh","Потрошувачка на енергија годишно:243kWh","Ниво на бучава:38dB","Димензии:185.2x59.5x67cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","VIVAX MF-45 МИНИ БАР","8799.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/vivaxmf-45.jpg","МИНИ БАР","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 39л","КАПАЦИТЕТ НА ЗАМРЗНУВАЧОТ 4Л","ДИМЕНЗИИ В/Ш/Д 47,2/49,2/45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","FAVORIT R1001E","8999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/04-7.jpg","ФРИЖИДЕР","КАПАЦИТЕТ 88 L.","ЕНЕРГЕТСКА КЛАСА E","НИВО НА БУЧАВОСТ 43 DB.","ДИМЕНЗИИ (В/Ш/Д) 83X49X52 CM.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","FAVORIT RF-263E","11999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/1489764769n_1.jpg","ЛАДИЛНИК СО ГОРНА КОМОРА","КАПАЦИТЕТ НА ЛАДИЛНИКОТ: 171 Л.","КАПАЦИТЕТ НА КОМОРАТА: 42Л","ЕНЕРГЕТСКА КЛАСА E","АВТОМАТСКО ОДМРЗНУВАЊЕ","ДИМЕНЗИИ (В/Ш/Д) 144/54/60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
