"Website","Product Name","Price","Image URL","Specification 1","Specification 2","Specification 3","Specification 4","Specification 5","Specification 6","Specification 7","Specification 8","Specification 9","Specification 10","Specification 11","Specification 12","Specification 13","Specification 14","Specification 15","Specification 16","Specification 17","Specification 18","Specification 19","Specification 20","Specification 21","Specification 22","Specification 23","Specification 24","Specification 25","Specification 26","Specification 27","Specification 28","Specification 29","Specification 30","Specification 31","Specification 32","Specification 33","Specification 34","Specification 35","Specification 36","Specification 37","Specification 38","Specification 39","Specification 40","Specification 41","Specification 42","Specification 43","Specification 44","Specification 45","Specification 46","Specification 47"
"TEHNO MARKET","FAVORIT RF-263E S","11994.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/25012024152014rf263ns.jpg","ЛАДИЛНИК СО ГОРНА КОМОРА","КАПАЦИТЕТ НА ЛАДИЛНИКОТ: 171 Л.","КАПАЦИТЕТ НА КОМОРАТА: 42Л","ЕНЕРГЕТСКА КЛАСА E","АВТОМАТСКО ОДМРЗНУВАЊЕ","ДИМЕНЗИИ (В/Ш/Д) 144/54/60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","GORENJE RF-4142PW4","13992.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/310520241627417df79ff6a5fc6-mabagor-300wx300h.jpg","ЛАДИЛНИК СО ГОРЕ КОМОРА","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 166 л","КАПАЦИТЕТ НА ЗАМРЗНУВАЧОТ 41 л","ЕНЕРГЕТСКА КЛАСА А++","ЛЕД ОСВЕТЛУВАЊЕ","ОТВАРАЊЕ НА ВРАТА ЛЕВО/ДЕСНО","ДИМЕНЗИИ В/Ш/Д 144/55/55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","VIVAX DD-207E S","11991.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/dd-207es.jpg","ЛАДИЛНИК СО ГОРЕ КОМОРА","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 163л","КАПАЦИТЕТ НА ЗАМРЗНУВАЧОТ 41л","СТАКЛЕНИ ПОЛИЦИ","ЕНЕРГЕТСКА КЛАСА Е","ДИМЕНЗИИ В/Ш/Д 143/55/55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","GORENJE RF-414EPS4","14992.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/130520241447467f26ddf8e02b4-mabagor-300wx300h.jpg","ЛАДИЛНИК СО ГОРЕ КОМОРА","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 166 л","КАПАЦИТЕТ НА ЗАМРЗНУВАЧОТ 41 л","ЕНЕРГЕТСКА КЛАСА А++","ЛЕД ОСВЕТЛУВАЊЕ","ОТВАРАЊЕ НА ВРАТА ЛЕВО/ДЕСНО","ДИМЕНЗИИ В/Ш/Д 144/55/55","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","FAVORIT RF263EB","14999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/rf263eb.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","FAVORIT CF-278E","15992.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/favoritcf278-zatvoren.jpg","КОМБИНИРАН ЛАДИЛНИК","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 184л","КАПАЦИТЕТ НА ЗАМРЗНУВАЧ 84л","ЕНЕРГЕТСКА КЛАСА: E","БОЈА: БЕЛА.","ПРИЛАГОДУВАЧКИ ПОЛИЦИ НА ВРАТА.","ПРИЛАГОДУВАЧКИ СТАКЛЕНИ ПОЛИЦИ.","КОМОРА ЗА ЗАМРЗНУВАЊЕ СО ТРАНСПАРЕНТНИ ФИОКИ.","ДИМЕНЗИИ В/Ш/Д: 170/54/61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","GORENJE RK4182PW4","17992.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/rk4182pw4.jpg","КОМБИНИРАН ЛАДИЛНИК","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 198л","КАПАЦИТЕТ НА ЗАМРЗНУВАЧОТ 66л","ЛЕД ОСВЕТЛУВАЊЕ","СТАКЛЕНИ ПОЛИЦИ","ЕНЕРГЕТСКА КЛАСА А++","ДИМЕНЗИИ В/Ш/Д 180/55/56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","LIEBHERR T-1400 ЛАДИЛНИК","16992.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/t1400.jpg","ЛАДИЛНИК","КАПАЦИТЕТ 136 Л","ЕНЕРГЕТСКА КЛАСА А +","ПОТРОШУВАЧКА НА ЕНЕРГИЈА ВО 24 ЧАСА 0.321 KWH / 24H","ПОТРОШУВАЧКА НА ЕНЕРГИЈА ГОДИШНО 118 KWH / A","КЛИМАТСКА КЛАСА SN-ST","НИВО НА БУЧАВОСТ 37 DB","АВТОМАТСКО ОДМРЗНУВАЊЕ","LED ОСВЕТЛУВАЊЕ","4 СТАКЛЕНИ ПОЛИЦИ","РЕШЕТКА ЗА ШИШИЊА","ПОЛИЦА ЗА ЈАЈЦА ✔","ФИОКА ЗА ЗЕЛЕНЧУК 1","SWING DESIGN НА ВРАТАТА","БОЈА БЕЛА","ДИМЕНЗИИ НА ПРОИЗВОДОТ (H / W / D) 85 / 50.1 / 62.0 CM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","FAVORIT CF-278ES","16992.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/favoritcf278s-zatvoren.jpg","КОМБИНИРАН ЛАДИЛНИК","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 184л","КАПАЦИТЕТ НА ЗАМРЗНУВАЧ 84л","ЕНЕРГЕТСКА КЛАСА: F","БОЈА: СИВА","ПРИЛАГОДУВАЧКИ ПОЛИЦИ НА ВРАТА.","ПРИЛАГОДУВАЧКИ СТАКЛЕНИ ПОЛИЦИ.","КОМОРА ЗА ЗАМРЗНУВАЊЕ СО ТРАНСПАРЕНТНИ ФИОКИ.","ДИМЕНЗИИ В/Ш/Д: 170/54/61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","GORENJE RK-4182PS4","18992.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/27062024122602f9118c09749a5-mabagor-300wx300h.jpg","КОМБИНИРАН ЛАДИЛНИК","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 198л","КАПАЦИТЕТ НА ЗАМРЗНУВАЧОТ 71л","FrostLess","ЛЕД ОСВЕТЛУВАЊЕ","Crisp ФИОКА ЗА ОВОШЈЕ И ЗЕЛЕНЧУК","ЕНЕРГЕТСКА КЛАСА Е","ДИМЕНЗИИ В/Ш/Д 180/55/56","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","LIEBHERR RE1201","18999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/re1201.jpg","ЛАДИЛНИК","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 85л","КАПАЦИТЕТ НА ЗАМРЗНУВАЧОТ 13л","ЕНЕРГЕТСКА КЛАСА E","АВТОМАТСКО ОДМРЗНУВАЊЕ","LED ОСВЕТЛУВАЊЕ","4 СТАКЛЕНИ ПОЛИЦИ","РЕШЕТКА ЗА ШИШИЊА","ПОЛИЦА ЗА ЈАЈЦА","БОЈА БЕЛА","ДИМЕНЗИИ В/Ш/Д 85/50/60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","LIEBHERR Rsve1201","19999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/liebherrrsve1201.jpg","ЛАДИЛНИК","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 85л","КАПАЦИТЕТ НА ЗАМРЗНУВАЧОТ 13л","ЕНЕРГЕТСКА КЛАСА E","АВТОМАТСКО ОДМРЗНУВАЊЕ","LED ОСВЕТЛУВАЊЕ","4 СТАКЛЕНИ ПОЛИЦИ","РЕШЕТКА ЗА ШИШИЊА","ПОЛИЦА ЗА ЈАЈЦА ✔","БОЈА БЕЛА","ДИМЕНЗИИ В/Ш/Д 85/50/60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","LIEBHERR TP-1414","18959.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/liebherrtp-1414.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","FAVORIT CF-374E","19992.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/favoritcf374-zatvoren.jpg","КОМБИНИРАН ЛАДИЛНИК","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 230л","КАПАЦИТЕТ НА ЗАМРЗНУВАЧ 106л","ЕНЕРГЕТСКА КЛАСА: E","ФИКСНИ РАЧКИ ЗА ВРАТА","ДРЖАЧ ЗА ЈАЈЦА","ПРИЛАГОДУВАЧКИ ПОЛИЦИ НА ВРАТА","ПРИЛАГОДУВАЧКИ СТАКЛЕНИ ПОЛИЦИ","ДИМЕНЗИИ В/Ш/Д: 186/59,5/65 CM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","FAVORIT CF 278E B","16994.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/cf278eb.jpg","КОМБИНИРАН ЛАДИЛНИК","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 184л","КАПАЦИТЕТ НА ЗАМРЗНУВАЧ 84л","ЕНЕРГЕТСКА КЛАСА: E","БОЈА: ЦРНА","ПРИЛАГОДУВАЧКИ ПОЛИЦИ НА ВРАТА.","ПРИЛАГОДУВАЧКИ СТАКЛЕНИ ПОЛИЦИ.","КОМОРА ЗА ЗАМРЗНУВАЊЕ СО ТРАНСПАРЕНТНИ ФИОКИ.","ДИМЕНЗИИ В/Ш/Д: 170/54/61","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","LIEBHERR TB-1400 ЛАДИЛНИК","17992.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/tb1400.jpg","ЛАДИЛНИК","КЛАСА НА ЕНЕРГЕТСКА ЕФИКАСНОСТ A+","ГОДИШНА ПОТРОШУВАЧКА НА ЕНЕРГИЈА 118 KWH/A","КЛИМАТСКА КЛАСА SN-ST","НИВО НА БУЧНОСТ 37 DB","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 136 L","МЕХАНИЧКО УПРАВУВАЊЕ","ПРОЦЕС НА ОДМРЗНУВАЊЕ АВТОМАТСКИ","LED-ОСВЕТЛУВАЊЕ","4 ПОЛИЦИ ВО ДЕЛОТ ЗА ЛАДЕЊЕ","ПРИЛАГОДИВИ ПО ВИСИНА 3","МАТЕРИЈАЛ НА ПОЛИЦИТЕ СТАКЛО","БРОЈ НА ПОЛИЦИ ЗА ШИШИЊА 1","БРОЈ НА ПОЛИЦИ ЗА КОНЗЕРВИ 2","САД ЗА ЈАЈЦА","БРОЈ НА САДОВИ ЗА ОВОШЈЕ/ЗЕЛЕНЧУК 1","БОЈА НА КУЌИШТЕ ЦРНА","МАТЕРИЈАЛ НА ВРАТАТА ЧЕЛИК","ВДЛАБНАТА РАЧКА","НАДВОРЕШНИ ДИМЕНЗИИ (В/Ш/Д) 85 / 50,1 / 62,0 CM","ТЕЖИНА (БЕЗ ПАКУВАЊЕ) 30,8 KG","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","VIVAX CW-094S30 GB","15991.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/cw094s30gb.jpg","VIVAX ладилник за вино","NO FROST","Капацитет 64 литри","30 класични шишиња","Дигитална контрола на температура од 5 до 20 степени","LED осветлување","3 полици на извлекување за полесно ракување","Ниско ниво на бучава 38Db","Темно стакло на врата и UV светло што придонесува за подобро чување на виното.","Димензии ш/в/д 84/55/48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","FAVORIT CF-374E I","21992.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/favorit-cf-374-i-01-scaled.jpg","КОМБИНИРАН ЛАДИЛНИК","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 230л","КАПАЦИТЕТ НА ЗАМРЗНУВАЧ 106л","ЕНЕРГЕТСКА КЛАСА: F","ФИКСНИ РАЧКИ ЗА ВРАТА","ДРЖАЧ ЗА ЈАЈЦА","ПРИЛАГОДУВАЧКИ ПОЛИЦИ НА ВРАТА","ПРИЛАГОДУВАЧКИ СТАКЛЕНИ ПОЛИЦИ","ДИМЕНЗИИ В/Ш/Д: 186/59,5/65 CM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","LIEBHERR CTPE231","21999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/15.jpg","ЛАДИЛНИК СО ГОРЕ КОМОРА","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 189 л","КАПАЦИТЕТ НА ЗАМРЗНУВАЧОТ 44 л","КЛАСА НА ЕНЕРГЕТСКА ЕФИКАСНОСТ E","АВТОМАТСКО ОДМРЗНУВАЊЕ","LED-ОСВЕТЛУВАЊЕ","ДИМЕНЗИИ (В/Ш/Д) 140/ 55/ 63 см","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","FAVORIT NF379E","23999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/26012024111304nf379n.jpg","КОМБИНИРАН ЛАДИЛНИК","NO FROST СИСТЕМ","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 230л","КАПАЦИТЕТ НА ЗАМРЗНУВАЧОТ 94л","ЕНЕРГЕТСКА КЛАСА: E","ЕДЕН КОМПРЕСОР","САД ЗА ЈАЈЦА","ПРИЛАГОДЛИВИ ПОЛИЦИ НА ВРАТИТЕ","ПРИЛАГОДЛИВИ СТАКЛЕНИ ПОЛИЦИ","ДИМЕНЗИИ В / Ш / Д: 185/60/62 СМ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","FAVORIT CF 374E B","22992.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/cf374eb.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","FAVORIT NF-379E I","24999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/favorit-nf-373-i-01-800x450.jpg","КОМБИНИРАН ЛАДИЛНИК","NO FROST СИСТЕМ","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 230л","КАПАЦИТЕТ НА ЗАМРЗНУВАЧОТ 94л","ЕНЕРГЕТСКА КЛАСА: E","ПРИЛАГОДЛИВИ ПОЛИЦИ НА ВРАТИТЕ","ПРИЛАГОДЛИВИ СТАКЛЕНИ ПОЛИЦИ","ДИМЕНЗИИ В / Ш / Д: 185/60/62 СМ","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","LIEBHERR CTPE251","23999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/liebherrctp-251.jpg","КОМБИНИРАН ЛАДИЛНИК","ВКУПЕН НЕТО КАПАЦИТЕТ 270 l","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 218 l","КАПАЦИТЕТ НА ЗАМРЗНУВАЧОТ 52 l","EНЕРГЕТСКА КЛАСА E","ПРОЦЕС НА ОДМРЗНУВАЊЕ АВТОМАТСКИ","LED-ОСВЕТЛУВАЊЕ","ДИМЕНЗИИ (В/Ш/Д) 157,1 / 55,0 / 63,0 cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","LIEBHERR CTPELE231","24999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/liebherrctpel-231.jpg","ЛАДИЛНИК СО ГОРЕ КОМОРА","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 189 л","КАПАЦИТЕТ НА ЗАМРЗНУВАЧОТ 44 л","КЛАСА НА ЕНЕРГЕТСКА ЕФИКАСНОСТ E","АВТОМАТСКО ОДМРЗНУВАЊЕ","LED-ОСВЕТЛУВАЊЕ","ДИМЕНЗИИ (В/Ш/Д) 140/ 55/ 63 см","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","LIEBHERR KPe290","24999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/66.jpg","ЛАДИЛНИК","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 229л","КАПАЦИТЕТ НА ЗАМРЗНУВАЧОТ 21л","КЛАСА НА ЕНЕРГЕТСКА ЕФИКАСНОСТ E","АВТОМАТСКО ОДМРЗНУВАЊЕ","LED-ОСВЕТЛУВАЊЕ","5 ПОЛИЦИ ВО ДЕЛОТ ЗА ЛАДЕЊЕ","ПРИЛАГОДИВИ ПО ВИСИНА 4","ДИМЕНЗИИ (В/Ш/Д) 140/55/63","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","GORENJE NRK-6191ES4 ЛАДИЛНИК","23991.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/gorenjenrk-6191es4.jpg","КОМБИНИРАН ЛАДИЛНИК","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 203л","КАПАЦИТЕТ НА ЗАМРЗНУВАЧОТ 99л","NO FROST","CrispZone ФИОКА ЗА ЗЕЛЕНЧУК","ЛЕД дисплеј","ЛЕД осветлување","4 стаклени полици","Полица за шишиња на вратата: Сад за шишиња без држач","ДИМЕНЗИИ В/Ш/Д 185/60/60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","FAVORIT NF379 EB","24999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/nf379b.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","LIEBHERR CTPELE251","25999.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/ctpel251-21.jpg","КОМБИНИРАН ЛАДИЛНИК","ВКУПЕН НЕТО КАПАЦИТЕТ 270 l","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 218 l","КАПАЦИТЕТ НА ЗАМРЗНУВАЧОТ 52 l","EНЕРГЕТСКА КЛАСА E","ПРОЦЕС НА ОДМРЗНУВАЊЕ АВТОМАТСКИ","LED-ОСВЕТЛУВАЊЕ","ДИМЕНЗИИ (В/Ш/Д) 157,1 / 55,0 / 63,0 cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TEHNO MARKET","WHIRLPOOL WNF 821 E X","20991.00 ден","https://d3mrte3vpewnxc.cloudfront.net/img/products/full/thumbs/wnf-821-e-x-frigos-1.jpg.jpg","КОМБИНИРАН ЛАДИЛНИК","КАПАЦИТЕТ НА ЛАДИЛНИКОТ 230л","КАПАЦИТЕТ НА ЗАМРЗНУВАЧОТ 98л","NO FROST ВО ЗАМРЗНУВАЧОТ","ЛЕД ОСТВЕТЛУВАЊЕ","Multiflow","6th sense control","ЕНЕРГЕТСКА КЛАСА E","ДИМЕНЗИИ В/Ш/Д 189/60/66","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Фрижидер FUEGO RFFGHOMB 51 SW","5499.00 ден.","https://www.neptun.mk/2023/08/17/Picture1_fff73c37-4165-4fa9-bd2e-c82222eff75d.png?width=192","Фрижидер","Енергетска класа: А+","Нето капацитет:40L","Механичка контрола","Реверзибилна врата","Ниво на бучава:39dB","Димензии:44x47x51cm","*Можност за 5 годишна гаранција со доплата","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Фрижидер FUEGO RFFGHOMB 51 SB, 40L, A+","5999.00 ден.","https://www.neptun.mk/2023/10/03/CLOSE1_17d14be5-05e1-409d-93d3-e15eac8d9ebe.jpg?width=192","Фрижидер","Енергетска класа: А+","Нето капацитет:40L","Механичка контрола","Реверзибилна врата","Ниво на бучава:39dB","Димензии:44x47x51cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Фрижидер FUEGO FGTF 484 W/N","7499.00 ден.","https://www.neptun.mk/2023/04/28/Fuego01_f0f66bbd-7121-400e-9437-743859cafe09.jpg?width=192","Фрижидер","Автоматско одмрзнување","Енергетска класа:A","Нето капацитет:82L","Димензии:84x48x43cm","*Можност за 5 годишна гаранција со доплата","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Фрижидер BEKO LS9052WN, Е, 88L","8499.00 ден.","https://www.neptun.mk/2024/05/14/LS9052WN_25482f5f-d8b7-4df0-9b22-64af1f328bf5.JPG?width=192","Фрижидер","LED Illumination®","Енергетска класа:Е","Капацитет на фрижидерот: 88L","Механички контроли","Реверзибилна врата","Потрошувачка на енергија годишно:85kWh","Потрошувачка на енергија дневно:0.24kWh","Ниво на бучава:39dB","Димензии:85x48x45cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Фрижидер HOOBART RFHBHOTT85SW, 90L, А","8999.00 ден.","https://www.neptun.mk/2024/05/16/RFHBHOTT85SW1_120aba58-e689-4928-a563-6f547c7846ef.png?width=192","Фрижидер","Енергетска класа:А","Капацитет на фрижидерот: 90L","Механички контроли","Комора за замрзнување","Ниво на бучава:41dB","Димензии:85x47.5x44.5cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","BEKO RS 9051 PN","9499.00 ден.","https://www.neptun.mk/2025/04/17/bekofrizider_24a8fe31-f049-4637-92a5-03159e86b7e2.png?width=192","Фрижидер","MinFrost","Нето капацитет:93L","Енергетска класа:Е","Годишна потрошувачка на енергија:106.95kWh","Ниво на бучава:39dB","Боја: нерѓосувачки челик","Стаклени полиси","Фиока за свежа храна","LED Illumination","Димензии (ВxШxД):85x48x45cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Фрижидер BEKO TSE 1284 N, 101L, Е","11999.00 ден.","https://www.neptun.mk/2021/06/04/4_8bb09aa6-c829-477f-8bd9-abba2723b605.jpg?width=192","Фрижидер","MinFrost®","Led Illumination®","Реверзибилна врата","Долготрајни стаклени полици","Енергетска класа:Е","Нето капацитет:101L","Капацитет на замрзнување:2kg/24h","Потрошувачка на енергија годишно:137kWh","Дневна потрошувачка на енергија:0.4kWh","Ниво на бучава:36dB","Димензии:84x54x59cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Фрижидер BEKO TSE 1524 N, E, 128L","11999.00 ден.","https://www.neptun.mk/2024/05/13/7247240512-LO1-20230417-112128_c89224ca-ba5c-4824-aa10-daf48ef1beeb.png?width=192","Фрижидер","Led Illumination®","Реверзибилна врата","Долготрајни стаклени полици","Енергетска класа:Е","Нето капацитет:128L","Капацитет на замрзнување:5kg/24h","Потрошувачка на енергија годишно:90kWh","Дневна потрошувачка на енергија:0.25kWh","Механички контроли","Ниво на бучава:37dB","Димензии:84x54x59cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Фрижидер HOOBART RFHBHOLA143SW, A","12999.00 ден.","https://www.neptun.mk/2024/05/28/RFHBHOLA143SW1_e863e755-184b-43dd-b1ef-f16666d825d9.png?width=192","Фрижидер","Енергетска класа: A","Ниво на бучава: 40dB","Механички контроли","Димензии: 54.5 x 55.5 x 143cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Фрижидер FUEGO RFFGHOLA 143 SW, 156L, A","13499.00 ден.","https://www.neptun.mk/2023/11/07/RFFGHOLA143SWCLOSE_fbf452dc-c5cb-4a98-9562-d0367d8aba72.png?width=192","Фрижидер","Енергетска класа А","4 стаклени полици","5 полици на вратата","Капацитет: 156l","Бела боја","Димензии: 55x58x143cm","*Можност за 5 годишна гаранција со доплата","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Фрижидер HOOBART RFHBHOLA143SS, А","13999.00 ден.","https://www.neptun.mk/2024/06/10/Screenshot2024-06-07120916_006e5d7a-574e-4532-8076-0783cb30a5a8.png?width=192","Фрижидер","Енергетска класа: A","Ниво на бучава: 40dB","Механички контроли","Димензии: 54.5 x 55.5 x 143cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NEPTUN","Фрижидер BEKO RSSA 290 M41WN, E, 286L","19999.00 ден.","https://www.neptun.mk/2024/05/14/7501720040-LO1-20230824-135530_cb115de2-2dbb-426e-a7a6-b0353a748bbd.png?width=192","Фрижидер","Led Illumination®","Реверзибилна врата","Долготрајни стаклени полици","Енергетска класа:Е","Нето капацитет:286L","Потрошувачка на енергија годишно:109kWh","Дневна потрошувачка на енергија:0.298kWh","Механички контроли","Ниво на бучава:38dB","Димензии:150.8x59.5x59.2cm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
